Image ID,split,model,Category,Ground Truth,Prediction,gt_norm,pred_norm
U5_3@E2835710@BGA@DS015152-R000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U5_3@E2835710@BGA@DS015152-R000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R754_1@B0410600@R@DS00215A-R106-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R754_1@B0410600@R@DS00215A-R106-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J1_1@B6211410@IC@DS00215A-R106-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J1_1@B6211410@IC@DS00215A-R106-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J1_1@B6211410@IC@DS00215A-R106-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J1_1@B6211410@IC@DS00215A-R106-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U41_1@B280E040@QFN@DS012334-Z204-B,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U41_1@B280E040@QFN@DS012334-Z204-B,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J13_1@B6210691@BGA@DS006251-R100-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J13_1@B6210691@BGA@DS006251-R100-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J14_1@B6210691@BGA@DS006251-R100-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J14_1@B6210691@BGA@DS006251-R100-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J14_1@B6210691@BGA@DS006251-R100-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J14_1@B6210691@BGA@DS006251-R100-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J3_2@B6217300@IC@DS011595-R000-B,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J3_2@B6217300@IC@DS011595-R000-B,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C416_2@B1110160@C@DS011595-R000-B,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U1_1@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U1_1@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U1_2@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
